# Detector log started : 2026-07-06 21:15:55.159
# Port                 : /dev/cu.usbmodem142101  Baud: 115200
# Author               : (unset)
# Threshold            : 20 mV
# Columns              : pc_timestamp	evNum	picoTimeMs	adcAtEvent	rateOverall	threshold_mV
#
pc_timestamp	evNum	picoTimeMs	adcAtEvent	rateOverall	threshold_mV
2026-07-06 21:15:56.583	302	255808	96	1.1800	20
2026-07-06 21:15:57.069	303	256298	30	1.1800	20
2026-07-06 21:15:57.456	304	256704	33	1.1800	20
2026-07-06 21:15:58.276	305	257510	65	1.1800	20
2026-07-06 21:15:59.152	306	258353	26	1.1800	20
2026-07-06 21:15:59.668	307	258907	28	1.1900	20
2026-07-06 21:16:00.558	308	259787	34	1.1900	20
2026-07-06 21:16:02.051	309	261266	31	1.1800	20
2026-07-06 21:16:02.452	310	261701	46	1.1800	20
2026-07-06 21:16:03.755	311	262938	88	1.1800	20
2026-07-06 21:16:04.358	312	263534	198	1.1800	20
2026-07-06 21:16:04.559	313	263736	112	1.1900	20
2026-07-06 21:16:05.452	314	264682	68	1.1900	20
2026-07-06 21:16:05.660	315	264833	23	1.1900	20
2026-07-06 21:16:06.052	316	265270	22	1.1900	20
2026-07-06 21:16:06.262	317	265516	24	1.1900	20
2026-07-06 21:16:06.653	318	265869	124	1.2000	20
2026-07-06 21:16:09.554	319	268775	71	1.1900	20
2026-07-06 21:16:09.854	320	269053	45	1.1900	20
2026-07-06 21:16:12.660	321	271844	213	1.1800	20
2026-07-06 21:16:15.761	322	274965	22	1.1700	20
2026-07-06 21:16:17.361	323	276529	123	1.1700	20
2026-07-06 21:16:17.752	324	276997	20	1.1700	20
2026-07-06 21:16:20.461	325	279685	20	1.1600	20
2026-07-06 21:16:20.853	326	280118	87	1.1600	20
2026-07-06 21:16:22.460	327	281632	74	1.1600	20
2026-07-06 21:16:23.259	328	282447	53	1.1600	20
2026-07-06 21:16:23.353	329	282552	28	1.1600	20
2026-07-06 21:16:25.753	330	284948	39	1.1600	20
2026-07-06 21:16:25.952	331	285146	196	1.1600	20
2026-07-06 21:16:26.659	332	285909	23	1.1600	20
